quote,entry,rating
Dinner at Bayleaf,"The ambiance, the food was amazing and tasty the service was second to none. Would highly recommend.More",5
Better than I remember!,First time returning to this place since the pandemic and it’s even better than I remember! The staff are so attentive and a joyful and the food is really something special! Great to come for a date or as a big table to celebrate a...More,5
Best Indian in London,Amazing service with genuinely excellent food. It's beautifully cooked with perfect spice. Service was lovely. Cannot recommend enoughMore,5
Excellent food,Fantastic restaurant with great staff. The food was excellent - we couldn’t find a dish we didn’t like! Would recommend to anyone!More,5
Great food and service,The food was delicious and the staff were very attentive. We had a lovely evening to celebrate a birthday. We were provided with a complimentary birthday dessert and drink as well which was a really nice addition to the night and our celebrations. I would...More,5
Best curry in London,"Fantastic starters and mains, probably the beet curry we've had in London - staff were delightful, in particular Bodrul who was attentive, welcoming and warm.More",5
Best curry I’ve ever had!,"Fabulous Curry, flawless service and staff clearly proud of their food and rightly so! The chicken in the starter was beautifully cooked and the prawn main was a show stopper! Bodrul was lovely to talk to and made us feel very welcome!More",5
Lovely food,Lovely evening at the Bayleaf. Service impeccable and food delicious. Would recommend to anyone in the locality.More,5
The best Indian Restaurant ever.,"So glad to be back after the enforced absence. 

This is still the best Indian Restaurant we’ve ever been to. Everything; the service, decor and food is still excellent. 

I was reminded how good it is the second we walked through the door.  We recognised...More",5
10/10 would recommend,Great service and great food! Was served by 3 very polite waiters/waitresses. Everybody ordered a different dish and we enjoyed every oneMore,5
Mr,"The place is really chill and lovely, staff’s are amazin, food was great! Everything was as it should.More",5
Best Meal Ever!,"It was my first time at this restaurant. Firstly, I was impressed with their Covid health and safety measures. The service was great, very attentive, without being obtrusive. The food was fabulous. I am vegetarian, and quite often come away from Indian restaurants slightly disappointed....More",5
Best curry in town by our,"Best curry in town by our favourite waiter Bodrul 
Have missed you guys, happy to be back
Its been too long
Yummy 😋More",5
Wonderful date,We had an amazing time. The food was absolutely delicious and the service was fantastic. Thank you Naz and the team!More,5
Terrific food and very polite staff!,Terrific food and very polite staff! Mitra was very helpful and made us feel very welcome. Their covid protocols were top class.More,5
Yummy,"Very nice dinner at the restaurant. 

Best dishes were: Achari Lamb, Halibut, aubergine stuffed with paneer, manglorian chicken curryMore",5
"Best Indian cuisine in North London, by far.","Excellent cooking, preparation, taste and service. Will be returning to sample more from their menu. The Kale and Chick Pea starter was outstanding.More",5
Excellent meal and service,"Restaurant is top class - ambience, food and service.  You don’t need to go to the west end to experience a “proper night out “ in whetstone.  The manager/owner is very welcoming-and the staff are so professional:   The food is excellent too so all round...More",5
Good to be back,"This has always been a favourite restaurant of ours. 
Delighted to return after lock down. Quality of food and service as outstanding as ever. Excellent attention to safety measures including temperature checks, QR check in and well spaced tables.More",5
Highly recommended,"Great food, great service and very covid-safe. Authentic, delicious Indian cuisine and we will definitely be returningMore",5
Bayleaf restaurant,We went this restaurant and the staff and food was superb we went 3 years and I am glad we went again we had prawns and scallops as a starter and then I had tandoori prawns with garlic naan and ant had tandoori mixed grill...More,5
Amazing Food & Service,"As always, delicious food, friendly helpful Bodrul & Mitra have always been so lovely whenever they serve us. Clean and well organised, we felt very safe and protected.More",5
Good to be back,Great to be back in The Bayleaf after Lockddown. Recommend the Mango Curry. Awesome Chef and good service all round. Best Curry house in the area.More,5
Amazing food and great service,Amazing food and service. Best Indian food in north London! Very COVID safe as well. Temp checks at the door and antibacterial gel. Tables very set apart. Had a great eveningMore,5
Liz,"We love this restaurant, the staff are just the loveliest people you could possibly hope for. The food is incredible, we have never had anything that wasn’t delicious. The presentation is fabulous with generous portions and the quality is second to none. I can not...More",5
A great date-night out,"Food was very flavoursome, beautifully presented and portion sizes were good. Staff were really friendly, the restaurant is clean and well presentedMore",5
Heaven on the high street ,No need to die to get to heaven - this restaurant has to be the best Indian this side of the watford gap ! A must for anyone who is serious about their curry...More,5
Amazing Food,Perfect for the lovers of pan-asian resturants. The curry has excusite flavour which paired up perfectly with the naan and pilau rice. The staff go above and beyond to ensure customers have a good time.More,5
Amazing Food and Service!,I often come here with my friends and I have to say we always get treated really well whilst the food is always excellent. Would really recommend the Murgh Angara!More,5
Fantastic experience,"I have visited this restaurant several times in the past, however I went with my family for the first time. It’s safe to say they were not disappointed. As usual, the food was of great quality and the service was fantastic, especially Mitra who was...More",5
Delicious food,"From when we entered to when we left the staff were so friendly especially Mitra nothing was too much trouble for them. The food is delicious and such a variety and looked so beautiful on the plates.
Well worth going for Indian food that is...More",5
Great service and great food,First time visit - Great service great food environment is very good had a nice time worth the visitMore,5
Amazing meal,"Had the most amazing meal at the Bayleaf. 
Me and my partner often come here and after lockdown this is exactly what we needed. 

The food is incredible and the staff are brilliant.
I can’t fault it at all. We will definitely be visiting again!More",5
Wonderful food and great ambiance,Fantastic food and great service. Thank you for making one our first meals out after lockdown so special. The Punjabi butter chicken is particularly nice.More,5
Amazing food and fabulous service,Bay leaf was the first place we went to after restaurants opened up and so glad we did. Amazing food and the service was absolutely spot on. Definitely recommend the Momo starter - came with a lovely theatrical surprise!More,5
Bayleaf restaurant.  Whetstone . London,"Outstanding.  The best meal I've ever eaten . The best service I've ever had. Table presentation was top class. Seriously impressed.  The staff were attentive and helpful . Nice to see a restaurant happy to accommodate children .
We will be back.More",5
Excellent!,"We’ve missed the bayleaf!! Mitra was an excellent and attentive server, and the food was amazing. Can’t wait to return!!More",5
No complaints!,"Went for a date night with my husband last night at Bayleaf. We had never been, but had heard it was a good place to go... and we were not disappointed! They truly encapsulate the meaning of service. The service was impeccable. We had to...More",5
Very nice,Very nice it was very nice it was extremely nice................. excellent service very clean and very nice it wasMore,5
Mr,The chicken tikka here is one of the nicest dish you will ever have in your entire life! The customer service at this restaurant is truly amazing. 100% would recommend to come here.More,5
"Great food, great service and a fantastic atmosphere...!!","With the reopening of eating indoors on the 17th may on my birthday, there was only one restaurant I really wanted to book. It was so nice to be welcomed back by the staff who want to provide the best possible experience for every visit....More",5
A visit,"Our late after work mid-week dinner out turned out to be a lovely and delightful night. Delicious food, lovely atmosphere and warm and thoughtful hospitality. Our thanks specially to Mitra. We will be back regularly.More",5
20 stars! Absolutely insane food and service! 💗,"We love Indian food and we tried over 25 Indian restaurant all over london. Bay leaf food is by far the best one! Personable experience, beautiful service! We couldn’t wait for them to reopen! They are THE BEST! ⭐️⭐️⭐️⭐️⭐️⭐️⭐️More",5
North London’s best Indian,"Having moved to North London 18 months ago for many months I was distraught not to find the necessary calibration of Indian cuisine I was used to in Central London. With Bayleaf this was remedied. Delicious, tasty NOT GREASY Indian cuisine for a reasonable price....More",5
Faultless post lockdown treat!,"Faultless post lockdown treat! Good covid measures, felt very safe and every piece of food was absolutely divine. Highly recommend the oh my Bayleaf and dreamy garlic naan. Excellent service also. We’ll be back!More",5
Exceptional! ,"Ordered a takeaway from the restaurant, was delivered in 40 minutes and I can honestly say it was the best we’ve eaten in years! Exceptional quality and utterly delicious. Loved it xMore",5
Fed up with Friday night take-away?,"Fed up with Friday night take-away?  We were. The best place for a post lockdown Indian meal!

Good food, good service and a little bit of restaurant theatre: try the momo as a starter.More",5
Nice service and nice food,"First meal out since lock down, it was safe, clean and very welcoming. All options on the menu were available and the food was delivered very quick. Good jobMore",5
"Great atmosphere, great food","Really like the experience, good food, the staff are great and the atmosphere is very nice and fancy. The lamb curry was great.More",5
Bayleaf at Home,"Bayleaf is my favourite local restaurant and pre lockdown, we would have normally have gone there for my birthday. As Bayleaf is offering their dining in menu for delivery we tried this for the first time last night. We order from their takeaway restaurant frequently,...More",5
Another satisfying meal,"Went for lunch, been here before and they never disappoint! The manager is a lovely man he is always ready to help you choose the best on the menu. The food was very tasty as always just the right amount of flavours for me, would...More",5
Great Experience,"We had a great time at Bayleaf as we celebrate our son first holy communion get together with our friends.
The food was amazing and the service is spot on.
A big thanks to the staff and the management who made a great effort to...More",5
Good overall,"Good service, little slow.

However the food was good! I will try again...

People that work there a re good but I think the management need improvement.More",4
Beautiful restaurant,"My friend and myself visited Bayleaf restaurant recently and we had a lovely experience. We were both greeted with warmth and we were very impressed with the Covid, safety measures that had taken place, before we entered the restaurant . The hospitality was great and...More",5
Nice food,"Very friendly place and nice people. The seafood was delicious, appetizer of paneer with spinach and papadoms.More",5
My wife and I have been frequenting,"My wife and I have been frequenting Bayleaf since it opened, and can honestly say that every meal we’ve had has been excellent.
All the staff are first class, and the restaurant is spotless.
We have recommended many friends, and they too have been equally...More",5
Great service and presentation. ,"Great service and presentation.
Very overtly covid secure & reassuring.
However the food and flavour isn’t as great as the other reviewers have rated. Maybe we didn’t have the same chef? Recently dined at Benares at a similar price ( without alcohol ) 
Food for...More",4
Didn’t meet expectations,I had great expectations of this restaurant based on the reviews and other people’s experiences. However I was disappointed. The starters were nice but the mains were nothing special. Service couldn’t be faulted but I am not a fan of an automatic service charge being...More,3
Love coming here,"As a local resident I have been coming to Bayleaf since it opened, hands down this is my favourite restaurant in the area and was our first choice for a night out post-lockdown.
The owner and staff are clearly passionate about  what they do, the...More",5
Perfect restaurant,"Feels like a Mayfair restaurant in the middle of Whetstone! Food tastes and presented beautifully, the service is hands down the best I've received anywhere. This is the first restaurant I returned to post-lockdown and they made me feel so at ease, upon arrival you...More",5
Amazing to come back here,"My family and I could not wait to come back to the Bayleaf after the lockdown.
The food as always amazing, as too the staff and the owner.

Although this is all new to us with regards to the restrictions they implemented them to the...More",5
Best Indian Take Away,We had take away from Bayleaf for the first time last night and i can honestly say that it was the best Indian food that i have had. I am always dubious about getting Indian food as take away as I have always been so...More,5
Worth the wait and the weight gain! ,"During lockdown we have been taking advantage of not going out to eat and not going on holidays to lose weight so, on our one night treat a week have been sticking to healthy Turkish meals. Having reached our target weight and desperately needing a...More",4
Take Away,"In this lockdown we are all missing our dining out. In particular we miss the superb dishes and whole dining  experience at one of our favourite restaurants located in Whetstone, the Bayleaf.Despite a limited menu we ordered and enjoyed a wonderful take away meal for...More",5
At the time of unexpected,At the time of unexpected crisis like present BAYLEAF RESTURANT has proven to for coming in at FRONTLINE and offer help to the venerable with HOT MEALS delivered in person by the director of BAYLEAF MR Tofozzule Miah. Although we ordered last moment we received...More,5
Amazing Dinner Experience,"We visited the restaurant for the very first time on recommendation from a friend and we had the most amazing meal and experience.
From the moment we arrived, we were greeted with a very friendly team of staff who throughout our evening provided us with...More",5
Staff very aware of nut allergies,From the moment we arrived the staff were very friendly. The waiter explained dishes and said they could be made milder. Our son has a nut allergy and he checked each dish that he ordered and made sure he was aware not to share some...More,5
No main courses just starters tonight brilliant 😊,"Wow what a night my friend suggested starters only tonight!!! Crazy man Anyway what a great choice 👍

My friends and i have visited the bayleaf over the years but tonight was a very pleasant surprise  ....yes we opted for starters only Tekka and his...More",5
Good for Weightloss Bad for Value,"Expensive £18 For two small pieces of chicken as the main course..
Yet, the mixed grill which was £20., Was twice the size..
The roasted cauliflower starter was just a small single piece of cauliflower. 
Frankly the portion sizes were ridiculously small.
Secondly, I have...More",1
Fine dining,"We went to Bayleaf last week for my sisters birthday, the staff were very welcoming and friendly. They even got a small birthday cake we a candle complementary.  The wine they recommended was beautiful, the waiter was quite entertaining and the food he recommended we...More",5
The Awesomeness of Fine Indian Cuisine continues....!!!,"Each time I experience Bayleaf I am transported to Culinary Heaven! The Menu is not compromised and the food transports you from North to South India with something for everyone... Vegan Vegetarian, Pescatarian, Carnivore. The ingredients of each meal balances perfectly with each the other...More",5
Best Curry In London by far,I’m running out of the superlatives for this place. Outstanding food and fantastic people. Well done to all.More,5
"Superb fine dining experience, exquisitely flavoured dishes, impeccable' friendly service...","This is a restaurant with ambition. It opened about 6 six years ago with the aim of providing a new level of Indian cuisine and dining experience. We have been regular visitors since the beginning and watched how the owner's meticulous attention to detail, his...More",5
Highly recommend,"Always go for a curry with my girls when on a  visit back to London. We chose the bay leaf this time and I don’t think we will ever go anywhere else. Really tasty food, great dishes and beautifully served. And the staff are so...More",5
Bayleaf Bonanza,"We walked in and were greeted amazingly and made to feel very welcome. The food here is of great quality. I had the vegetarian Bhajia which was a real showcase, the mangalorean korri gassi which had perfectly balanced flavours and provided just the right amount...More",5
My goodness gracious me,"What is there that I could possibly say that hasn't already been said about bayleaf? The service is incredible, yet the food somehow ups the ante. The owner was nothing but accommodating and made me feel part of the family within minutes. Couldn't recommend enough.",5
Taking Indian food to a new level,"Visiting the BAyleaf for the first time on Saturday night we were absolutely delighted with the whole dining experience. It is almost impossible to pic faults in this restaurant, the service is excellent and not only is the food delicious, it is beautifully presented as...More",5
"Initially we were treated with apparent disrespect and disregard until I complained, and then a change of attitude.","We walked into an empty restaurant early in the evening and asked, with some perceived 'attitude', whether we had booked. Upon being seated I asked whether the high minimum spend per person was in force. I was told, ""does it say it? Then it is""....More",3
"Delicious Food, Great Ambience & Attentive Staff","Had a good night of dinner and catchup with my girlfriend tonight and we randomly picked this restaurant which turned out to be great!

The seafood main was delicious and we started out with some papadoms that came with lovely 6 generous option of dips!...More",5
A high quality Indian restaurant in the suburb of Whetstone,"The Bayleaf, located on the road between the Tallyho Corner and Barnet is undoubtedly a jewel in the crown of this area of North London. A very smart, elegant restaurant, it has an air of sophistication and we found the staff and management to be...More",5
South Asian Extravaganza,I have been recommended this restaurant several times in the past by my co-worker but never got round to visiting it. Today was the big day - and I was not disappointed. On entrance to the restaurant I was taken aback - the classy atmosphere...More,5
Best Indian restaurant I have ever been to.,Over the years I have been to lots of different Indian restaurants and was skeptical about trying out a new one. We pre book a table and the staff we so friends the food was incredible some of the best I have ever had. We...More,5
Birthday,Went to this restaurant for my mum’s birthday and my daughters 21st what a wonderful evening the staff couldn’t have been more helpful and friendly the service was out of this world and the food was absolutely wonderful Would highly recommend this restaurant,5
First class!!,"Just got home from a lovely evening at the Bayleaf as always amazing food and great customer service 
So glad to see Raj back... my mum missed him dearly and was so happy to see him as he is such a lovely person and welcoming...More",5
Quality of ingredients,"I was pleasantly surprised when I visited Bayleaf when I tried the Lamb ghosht that the meat was juicy and tender, and spiced to our specification when ordering. Most curryhouses tend to use very cheap meats which often translates to very charred lamb pieces, but...More",5
Better than Indian restaurants in India!,"I visited Bayleaf with my kids and wife based on a recommendation from a friend and we were all extremely impressed with the quality of our dishes and the friendly service provided. Many restaurants claim to be ""Indian restaurants"" but Bayleaf would give some excellent...More",5
Best Indian Food in London!,"Wow! This place is the real deal; excellent atmosphere, incredibly knowledgeable staff and supreme service with high quality food- I recommend the tandoori mixed grill and the handi chicken, just simply delicious! 

The price at first may seem a tad steep, but honestly, for the...More",5
Overpriced,I have eaten in hundreds of Indian restaurants from the top echelon e.g. Benares and Tamarind in London and Lasan in Birmingham. This is competent food but it’s prices are out if step with its offering. It is not in the class of the ones...More,3
Amazing Restaurant!!!! 5*,"Just perfect! Food, service, atmosphere!! Please try this place out!! It’s just become one of my top ten in London!! Fabulous",5
Over Hyped,"The service was great, no issues there. Staff were friendly and welcoming. Although the restaurant seemed small, especially walking to the table. However, once seated it did not feel cramped.

Foodwise, i failed to see what made this  place so popular. We had ordered a...More",2
Not cheap but really good,"I’ve lived locally and never thought of going till now. There was nothing I could fault, 2 of us had a variety of dishes which were well cooked and presented and all with excellent service. It was lovely, but expensive, and I may prefer to...More",4
Amazing Birthday Party and Friendly Guest Service,"Firstly the Restaurant Manager ""Tauff"" was amazing in going the extra mile in getting my surprise party for my partner organised in such a short notice. He suggested a very nice menu which even i liked in the first sight and all my guests loved....More",5
A culinary adventure for the soul,"Where do I start? The restaurant is set out beautifully, to the point that it draws you in before you even look at the menu. The staff are incredibly friendly and inviting, doing everything they can to improve the experience of the diner. But the...More",5
The bayleaf experience,"I recently went here on a dinner date. The food was flawless and the service impeccable, all this set in a beautiful backdrop setting, made for a scintillating dining experience. Many thanks to the staff, would highly recommend!More",5
Stupendous Curry,"A truly exquisite fine dining experience, the food was spectacular from the starters to the desert, with both amazing presentation and fabulous taste. Coupled with fantastic and friendly staff, the whole experience was truly wonderful and I would highly recommend this to anyone!More",5
Splendid visit,"A range of mouth-watering dishes on offer, as well as a relaxed and stylish atmosphere with thoroughly professional and warm service. Was a fantastic experience and I will be going back soon!More",5
Superb all round 👌🏻 ,"Never been before, but was highly recommend & now I can see why !

Super trendy setting, not over the top or ridiculous, just full of style & comfort.

The staff were superb, attentive & not over the top, they work well together & exude...More",5
Great Curry ,Just had a fabulous curry with family. Quality excellent across veggie and fish choices. Goan Fish Curry was superb. Great service and reasonably priced wine. Will come again.More,5
Tremendous,Superb food. Ate here two nights in a row. Delighted with the food and the service provided by staff who care about the job they do. Thank you.More,5
Father’s Day treat,Great last minute booking. Grandmas biryani fantastic and service spot on as always. Momo starter always pleases the kids !!More,5
Top restaurant in north London hands down,"I’m going to keep it sweet and short. my gosh this restaurant is amazing. 

Excellent food, a lot of options.
Busy place, but still with a good service. 
Nice and clean :)More",5
Good.,"It was like I was an unwanted guest in the waiters house. Quite funny actually. 
Food was really good though. 
ThanksMore",4
The best Indian restaurant in north London,"Outstanding restaurant. Delicious food, great quality, lovely atmosphere and very attentive service. Only one suggestion:Please introduce Rasmalai - the traditional Indian dessert. Thank youMore",5
Best restaurant I have been to in the North London area!! Hands down!,"This is the first time i have visited Bayleaf after being told by many of my friends in London to check it out. After attending a business meeting with some prominent figures in Totteridge, I was in the area so decided to take them to...More",5
Just amazing,"I have to say since discovering this restaurant I go no where else 
The food is just out of this world. The staff are lovely and make you feel so welcome 

Nothing else more to say as my title says it all Just Amazing !!More",5
Tasty tasty food.,"Oh my, oh my.
Initial signs were good. Attentive staff, well presented dining room, small but perfectly formed menu.
Then the food arrived and we began to grin like ninnies.
Everything we had ordered was gorgeous.
Even the dishes we had asked for especially since...More",5
Excellent Indian Restaurant,"I have vistited the restaurant multiple times and the food is great on every occasion.  I had the duck dish, which I would definately recommend to anyone planning to go.More",5
Overpriced food and bland,"We went to Bayleaf on a Friday night, I can't complain about the restaurant itself or the staff but i'm sorry to say it was one of the worst Indian meals i have had.

Poppadoms to start should have been a clue as i have...More",2
A Indian restaurant not to be missed.,"We have been to the bayleaf several times. My daughter only lives down the road so it's perfect! 
Indian food 🥘 is a favourite of mine so I tend to Google best Indians in the neighbourhood. As a rule we try to go to different...More",5
Nice experience,"Due to a familly aniversary we have dedided to give a try to this restaurant. I was not amazed by the food quality neither the service. Everything was ok, don’t get wrong, but nothing special to reflect the prices or the service charge. Few minues...More",3
Disappointed,Disappointed with my latest trip to the bayleaf. I had not visited for a year and when the menu arrived I was shocked to see the prices of the food. £19 for a curry. The restaurant has always been overpriced but even more so on...More,2
BiRTHDAY DINNER PARTY FOR 10 - TOTALLY AWESOME! THANK YOU 🙏🏽,"Exceptional dining experience! I would highly recommend for several reasons: the impeccable 5-star service, the tranquil vibrant ambience, and the tastiest, most delicious Indian Cuisine. This fine dining restaurant is a precious gem on Whetstone High Street and easy to get to with just a...More",5
Friday Feelings ,"So all I can say if your trying to decided and it come down to a few choices, go for Bayleaf, it’s more than just your standard Friday night curry, food and service is fantastic. I recommend the Tandoori Mixed Grill and the kale Chatt....More",5
Best Asian Food in London!,"This was my first time eating at Bayleaf Whetstone and the service was phenomenal. We were kindly treated by staff from the offset, despite a last minute reservation. The food was brilliant too - everything was freshly cooked and presentation was impeccable. Overall I'd more...More",5
What a find.  Best Indian meal ever.,"Just returned home having experienced a culinary delight.  The menu was interesting and inviting.  The presentation of each dish was immaculate and tasted delicious.  

Thank you to Raj and his team.  Nothing was too much and we will definitely be returning.More",5
Great Dining experience,"I have eaten here twice now- the food, the presentation and the service has been amazing both times. I thoroughly recommend this to anyone looking for quality Indian cuisineMore",5
Best Indian Food I’ve had in a while!!,"Excellent service, great decor and most importantly fantastic food. Considering how busy the restaurant was, we were still served quickly and effectively. All the waiters & the manager were very welcoming and served us with a smile. The Jhinga Garlic was one of the best...More",5
Mixed feelings - Enjoyed the food but service was not welcoming,"First time experience at Bayleaf. 

Have heard good things about the restaurant and the meat dishes we tried were very high quality and tasty albeit the portion sizes are relatively small. 

My only negative comment was related to the service we received which was very...More",2
GREAT FOOD AND SERVICE,"Went here for a family 50th birthday and had a lovely experience with absolutely everything.

Really good quality food and portions, and an attentive and friendly service without it being intrusive.

Had a lovely evening and can't wait to go back again.

Thank you!More",5
One of the best food experiences ever,Have used the Bayleaf take away for 20 years. Had a repeat visit to the Bayleaf restaurant for Thanksgiving. Nice warm welcome from the owner on arrival -  he also informed me that although it wasn't currently on the menu the chef had specially prepared...More,5
Loved It,"Went there last minute on a Saturday night, and wasn't disappointed. Service was great, food was fantastic, no wonder it was packed! Definitely going back@More",5
Consistently great food,"Repeat visit to the Bayleaf - great food and great service. Food is well presented and very tasty. Nice welcome from the owner too, especially on a busy Saturday night. Will be back.More",5
Great all I can say,"After getting take Away’s for years from the take away up the road, went to the restaurant for the first time with friends this evening , food and service fantastic couldn’t fault them. 
Cant wait to go again 
Not the cheapest but get what you...More",5
Disgusting Attitude ,"Food bland, service awful. Saw the manager and waiters hounding a couple and their baby as their son was playing up a little. Rude customers had the audacity to complain about their child. Awful behaviour by the management and waiters talking about them.
Will never...More",1
Great way to spend my birthday,I went to Bayleaf last night with a few friends for dinner. The food was amazing! Could not fault it or the friendliest and professionalism of the staff. My friend is badly allergic to tomatoes and the staff and chef were extremely accommodating and alert...More,5
Lovely curry,"We ate here for the first time over the weekend. The restaurant was busy with a nice atmosphere. 
The starters I ordered were pleasant but the chilli paneer wasn’t very spicy. The curries however were excellent. I was very impressed, real depth of flavour, perfect...More",4
"Great atmosphere, service and food",I went for lunch today and the service here is just brilliant. The prawns and momo were yummy. The lamb curry was an absolute delight for mains. Definitely coming back.More,5
Ambiance and food in N20 rather than west end,The restaurants decor is very modern as well as the menu and food is very tasty. It's a west end restaurant in Whetstone.More,5
"My new ""go to"" Indian!",Wonderful attentive service in this good quality suburban Indian. Decor is smart and the family owned attitude is clearly a plus. The quality of the food is excellent and nothing is too much trouble. Highly recommended.More,4
"Great service, flavours and ambience.","We ate here with friends (4 in total) on Saturday 29th - only table available was at 7pm which suited us fine. Service was slick and seamless, all dishes served were excellent or very, very good. We shared a couple of starters, had three main...More",5
Excellent Meal,"Once again - an excellent meal.  I have been here a few times now and have never left dissatisfied.  The menu choices are different to your average curry house and oh boy they dont disappoint.
The meals are beautifully presented, extremely tasty and from good...More",5
Excellent food and service,"Not quite the traditional curry house. 

This is Indian cuisine to an excellent standard. 

My first time here and was very impressed.More",5
We love this restaurant,"Been to the Bayleaf a few times and have never left unsatisified with the food and service.

The food is lovely so are the staff and decor.

We even won a free meal for 2 here via their facebook page which we were honoured to...More",5
This is not an average Indian Restaurant,"My partner had visited this restaurant before and sadly whilst we were very late for our booking on a Saturday night the owner had reserved a wonderful table for us and there was no difficulty in our arrival time. 
Service and food quality was exceptional...More",5
Wonderful,"Wonderful meal at the Bayleaf last night. The service & food are both really excellent. We had the squid & momo to start (the presentation of all the food is amazing, although I'm not sure I see the point of the dry ice with the...More",5
Best Indian Restaurant in London ,"This is a must go to Restaurant, for all food lovers. The food is of the highest quality and freshness, all full of a range of exquisite flavours. From the freshness and variety of the poppadoms dips, like Ive never seen before to the presentation...More",5
Absolutely Fantastic,"The ambiance and decor is fantastic in this really fine restaurant. The impeccable service to every detail is second to none. The wide variety of food on the menu is spectacular and delicious, This restaurant is an absolute must if you love good food in...More",5
Authentic Indian Food,"First time visit with my family. Absolutely amazing food with an authentic Indian taste. A lovely bit of showmanship with the onion bhaji and the butter chicken was to die for!

Only point to note is I would have loved some mango chutney with my...More",5
Mixed Feelings,"We had the visually spectacular scallop and prawn starter. The scallops were soft and mushy suggesting that they were frozen. The prawns were dry. The flavour of the dish was disappointing as were the tandoori lamb chops which we also had as a starter

My...More",3
Outstanding,Not a bad word to say about this place. Absolutely incredible Indian food that's worth every penny. Extremely talented chefs indeed! And such a beautiful relaxed atmosphere and stunning interiors. 10 out of 10!More,5
FANTASTIC FOOD & SERVICE,"Three of us went to Bayleaf for the first time after hearing so many great reviews about the place. We thought we’d give it a go and what an absolute delightful evening we had. The food was incredible and to top it off our waitress,...More",5
family meal,"Good customer service and nice atmosphere. Was quiet when we arrived but a large party at a table close to us with young children crying and this soon changed.
the food was average but small portions and very overpriced.  I  had the lamb chops which...More",3
Our favourite North London Indian ,"Absolutely delicious Indian - we love coming to the Bayleaf restaurant and the takeaway never ceases to please us too when we feel like a lazy night in. 

Highly recommend the oh my Bayleaf! Dishes come with rice and the naan is absolutely great. 

The...More",5
Last min decision ,"First time here and wouldn’t go again, £100 for food that you can easily get for £40 elsewhere and they charge £10 to serv 2 people, shame really as heard good things about the place, mangoes in north Finchley is far betterMore",2
Scrumptious Meal,"Went here last week Friday after being told about the restaurant by a friend. I was impressed by the taste of the food, the diligent nature of the staff and the presentation of the meal. Would highly recommend!More",5
Really fabulous local,"Great service, great food and for us its our local so we are very lucky.

My ideal would be to just have a large selection of starters which are really tasty, especially the trio of chicken tikkas.

It is quite expensive, but most people seem...More",5
Full of flavour and friendly service!,Had a meal with some friends there and we all agreed that it was a very good place. We had a good time there and enjoyed the food and service. The lamb and chicken dishes we ordered were all superb and service was friendly. We...More,5
Amazing food and service,Service was superb. Never failing to fill your glass. The food was fabulous one of the best Indian meals I have eaten. Beautiful fresh food the dumplings were superb and the dry ice makes it so special. I would definitely recommend this restaurant. Lovely atmosphere...More,5
High quality authentic Indian,Went with some friends who had been here before and rated it. I do go to quite a few Indian restaurants over a month period and i will say that this one is probably one of the best i have had. All dishes were presented...More,5
Exceptionally Outstanding Food Presentation & Customer Service,"My Son took me for a birthday meal here. Second time visiting and intend returning with entire family. The food was beyond incredible and equalled by outstanding customer service. Our waiter Naz achieved the perfect non intrusive balance of service excellence. He was informative, friendly...More",5
OK,"Im glad i tried the Lamb Shank. It was amazing and delicious. The place was ok, And the staff was kind, except 1 waiter he seemed he was sad all the time making us feel uncomfortable...More",3
An upmarket Indian restaurant ,"This restaurant has excellent food with an exciting, inventive menu. The service is excellent and it’s very comfortable to sit with a very soothing ambience. It’s more expensive than most Indian restaurants but we go there as a treat for special occasions. Do try itMore",5
Amazing food amazing service amazing hospitality,The food and service was amazing. The hospitality provided made our night exceptionally great. I will return and encourage others to visit this great restaurant.More,5
1st Indian meal ever won't be our last,Came here with our son and daughter on a Monday night for a get together. My husband and I have never eaten Indian before mainly due to the smell as we walk past. This one however did not smell when we walked in and our...More,5
Different take on Indian food,"It certainly wasn't cheap but it was very nice. Very up market ambiance, staff very nice. Would be worth five stars if it was a bit cheaper. Well worth a try though.  Parking not easy!More",4
Over the moon!,"We went after hearing others recommend it. What a great place!.

I was impressed by the gleaming place and the smart, welcoming & friendly waiters.

The menu has a good range of dishes. We chose the intriguing Gobi Tree to start with, then Achari Dumba...More",5
Perfectly cooked squid and loos with bling,"Working nearby and pretty Hank Marvin after a long day slaving over a hot laptop, we headed to the Bayleaf after a tip from a client and a quick squint at the Tripadvisor reviews. This was a great experience, with an interestingly different menu. I...More",5
Expensive Indian,"We love Indian food and were taken here by friends. The decor is smart, service extremely attentive with great attention to detail. Food is beautifully presented however the size of each dish is rather small. 
Popadoms are £0.95p each and they charge 0.90p per person...More",3
Starter Platter 👌🏼,Went the Orange Tree in Totteridge and wasn't overly impressed with the menu so looked on tripadvisor for alternative options on the area and the Bayleaf was well reviewed. Made a last minute booking and offered a two hour turnaround a table which worked out...More,4
Highly recommended,Food is excellent and had an appealing presentation. The decor and overall experience was great as well.More,5
"Great food , expensive , nice plush decor","Went here after hearing good reviews.  This place looks very nice, plush and good to go if your looking for something extra special.  Large space, and lots of tables, however a bit crammed together....could hear every word of the table close to us....so wasn't that...More",5
A great evening with great food,"We visited Bayleaf in Whetstone for the first time yesterday.  As well as having exceptionally good (and modern) decor,  the service, food and atmosphere were all great.More",4
